Country,Organization
"Academies, learned societies, and their associations, and associations of researchers",European Network for Research Evaluation in the Social Sciences and Humanities (ENRESSH)
"Academies, learned societies, and their associations, and associations of researchers","Institute of Philosophy and Sociology, Polish Academy of Sciences"
"Academies, learned societies, and their associations, and associations of researchers",The Academia Europaea (The Academy of Europe)
"Academies, learned societies, and their associations, and associations of researchers",The Young Academy of Slovenia
"Academies, learned societies, and their associations, and associations of researchers",Associazione Italiana per la promozione della scienza aperta
"Academies, learned societies, and their associations, and associations of researchers",The European Magnetism Association
"Academies, learned societies, and their associations, and associations of researchers",Romanian Academy
"Academies, learned societies, and their associations, and associations of researchers",Biomentorhub
"Academies, learned societies, and their associations, and associations of researchers",Young Academy of Belgium (Flanders)
"Academies, learned societies, and their associations, and associations of researchers",Association of ERC Grantees
"Academies, learned societies, and their associations, and associations of researchers",ALLEA - All European Academies
"Academies, learned societies, and their associations, and associations of researchers",European Languages Council
"Academies, learned societies, and their associations, and associations of researchers",Sociedad Cientifica Informatica de España (SCIE)
"Academies, learned societies, and their associations, and associations of researchers",Hochschullehrerbund Bundesvereinigung
"Academies, learned societies, and their associations, and associations of researchers",European Chemical Society (EuChemS)
"Academies, learned societies, and their associations, and associations of researchers",Marie Curie Alumni Association (MCAA)
"Academies, learned societies, and their associations, and associations of researchers",Global Young Academy
"Academies, learned societies, and their associations, and associations of researchers",Eurodoc
"Academies, learned societies, and their associations, and associations of researchers",Federation of Finnish Learned Societies
"Academies, learned societies, and their associations, and associations of researchers",The Polish Academy of Sciences
"Academies, learned societies, and their associations, and associations of researchers",Young Academy of Europe
"Academies, learned societies, and their associations, and associations of researchers",The Framework for Open and Reproducible Research Training (FORRT)
"Academies, learned societies, and their associations, and associations of researchers",Bilim Akademisi - Science Academy Turkey
"Academies, learned societies, and their associations, and associations of researchers",The Royal Netherlands Academy of Arts and Sciences
Albania,Institute for Sustainable Development Environment and Tourism
Andorra,Quality Assurance Agency in Higher Education of Andorra
Andorra,University of Andorra
Australia,National Health and Medical Research Council
Australia,Curtin Open Knowledge Initiative
Austria,Sigmund Freud Private University
Austria,JOANNEUM RESEARCH
Austria,Austrian Agency for Research Integrity
Austria,BOKU University
Austria,Medical University of Graz
Austria,University for Continuing Education Krems
Austria,Ludwig Boltzmann Gesellschaft
Austria,CeMM Research Center for Molecular Medicine of the Austrian Academy of Sciences
Austria,Christian Doppler Research Association
Austria,Austrian Academy of Sciences
Austria,University of Graz
Austria,Institute of Science and Technology Austria (ISTA)
Austria,St. Pölten University of Applied Sciences
Austria,University of Applied Sciences Kufstein Tirol
Austria,FWF Austrian Science Fund
Austria,ÖPUK Oesterreichische Privatuniversitätenkonferenz
Belgium,Sciensano
Belgium,UCLouvain
Belgium,Consortium of European Taxonomic Facilities
Belgium,University of Namur
Belgium,University of Mons
Belgium,Fund for Scientific Research - FNRS
Belgium,University of Liège
Belgium,Royal Military Academy
Belgium,Université libre de Bruxelles
Belgium,Vrije Universiteit Brussel
Belgium,VIB
Belgium,Ghent University
Belgium,KU Leuven
Belgium,Hasselt University
Belgium,University of Antwerp
Belgium,Flemish Interuniversity Council (VLIR)
Belgium,Young Academy of Belgium (Flanders)
Belgium,Research Foundation Flanders - FWO
Bosnia and Herzegovina,Center for Development Evaluation and Social Science Research
Brazil,Brazilian Reproducibility Network
Brazil,Instituto Brasileiro de Informação em Ciência e Tecnologia - IBICT
Bulgaria,Medical university - Sofia
Canada,Fonds de recherche Quebec
Chile,Universidad de Las Americas
Chile,Universidad Autonoma de Chile
Chile,National Research and Development Agency
Costa Rica,"National University, Costa Rica"
Costa Rica,University of Costa Rica
Country/scope,Jönköping University
Country/scope,Muséum national d'Histoire naturelle
Country/scope,The University of Manchester
Country/scope,AMASES (Association for Mathematics Applied to Social and Economic Sciences)
Country/scope,Academy of Economic Studies of Moldova
Country/scope,University of Political and Economic European Studies C. Stere
Country/scope,"Research-Development Institute for Plant Protection, Bucharest"
Country/scope,John Innes Centre
Country/scope,University of Liechtenstein
Country/scope,European University for Well-Being
Country/scope,University of Bristol
Country/scope,Sciensano
Country/scope,Obuda University
Country/scope,University of Orléans
Country/scope,Latvia University of Life Sciences and Technologies
Country/scope,Irish Research Staff Association
Country/scope,European University Cyprus
Country/scope,Helmholtz Open Science Office
Country/scope,Center For Ethics In Science And Journalism
Country/scope,Institut de Recerca Sant Pau - IR Sant Pau
Country/scope,University Alliance Ruhr
Country/scope,University of Education Heidelberg
Country/scope,Fundacion Jimenez Diaz Health Research Institute
Country/scope,Universidad Miguel Hernández de Elche
Country/scope,CY Cergy Paris Université
Country/scope,Turkish Academy of Sciences
Country/scope,Politehnica University Timisoara
Country/scope,Vilnius Gediminas Technical University
Country/scope,Tomas Bata University in Zlin
Country/scope,University of Primorska
Country/scope,National University of Kyiv Mohyla Academy
Country/scope,Institut Pasteur
Country/scope,Society of Spanish Researchers in the United Kingdom (SRUK/CERU)
Country/scope,University College Absalon
Country/scope,Vidzeme University of Applied Sciences
Country/scope,Jean Monnet University
Country/scope,Alte University
Country/scope,INESC INOV-Lab (INESC INOV - Research & Development Laboratory)
Country/scope,Sigmund Freud Private University
Country/scope,Netherlands Federation of University Medical Centres (NFU)
Country/scope,European Institute of Education and Social Policy
Country/scope,Zurich University of the Arts
Country/scope,University of Suffolk
Country/scope,National Health and Medical Research Council
Country/scope,Brunel University London
Country/scope,Alexander von Humboldt Foundation
Country/scope,"Italian Academy of Business Administration, Organization and Management"
Country/scope,University of Caen Normandy
Country/scope,University of Pannonia
Country/scope,University of Pécs
Country/scope,Politecnico di Milano
Country/scope,Spiru Haret University
Country/scope,Institute for Systems Engineering and Computers at Coimbra - INESC Coimbra
Country/scope,National aerospace university Kharkiv aviation institute
Country/scope,Fondazione IRCCS Policlinico San Matteo di Pavia
Country/scope,German Society of Sport Science
Country/scope,University of Algarve
Country/scope,Fundació Institut de Recerca en Energia de Catalunya (IREC)
Country/scope,Leibniz Institute for Psychology (ZPID)
Country/scope,The Nelson Mandela African Institution of Science and Technology
Country/scope,Mykolas Romeris University
Country/scope,European Geosciences Union
Country/scope,Universidade Aberta
Country/scope,Ecole Normale Supérieure de Lyon
Country/scope,Portucalense University
Country/scope,Lithuanian Society for Infectious Diseases
Country/scope,General Jonas Žemaitis Military Academy of Lithuania
Country/scope,JOANNEUM RESEARCH
Country/scope,BCAM - BASQUE CENTER FOR APPLIED MATHEMATICS
Country/scope,University of Applied Sciences and Arts Northwestern Switzerland
Country/scope,ORPHEUS- Quality in Doctoral Education
Country/scope,Rectors' Conference of Lithuanian University Colleges (LKDK)
Country/scope,RWTH Aachen University
Country/scope,Hungarian Young Academy
Country/scope,Interdisciplinary Centre of Marine and Environmental Research (CIIMAR)
Country/scope,Index Foundation
Country/scope,Kozminski University
Country/scope,University of Carthage
Country/scope,European Citizen Science Association (ECSA)
Country/scope,Institute of Evaluation and Advanced Engineering
Country/scope,Luleå University of Technology
Country/scope,Art Academy of Latvia
Country/scope,IrsiCaixa
Country/scope,Dutch Heart Foundation
Country/scope,Saxion University of Applied Sciences
Country/scope,Roskilde University
Country/scope,University of Monterrey
Country/scope,St. Ignatius of Loyola College
Country/scope,Brazilian Reproducibility Network
Country/scope,Vasyl Stefanyk Precarpathian National University
Country/scope,Lithuanian Centre for Social Sciences
Country/scope,Blekinge Institute of Technology
Country/scope,"City, University of London"
Country/scope,Foundation for the Promotion of Health and Biomedical Research in the Valencian Region (FISABIO)
Country/scope,Peruvian society of science and innovation
Country/scope,INALCO - National Institute of Oriental Languages and Civilizations
Country/scope,Association of Healthcare Researchers – Italy
Country/scope,Olkejuado Adult and Continuing Education Association
Country/scope,Fondazione IRCCS Istituto Neurologico Carlo Besta
Country/scope,International University of Science and Technology UNICyT
Country/scope,Union of Teaching Workers of the Valencian Country
Country/scope,Avicenna - Batumi Medical University
Country/scope,Aland University of Applied Sciences
Country/scope,Medical University of Lublin
Country/scope,TU Dortmund University
Country/scope,Ilis State University
Country/scope,Austrian Agency for Research Integrity
Country/scope,University of Hertfordshire
Country/scope,ONERA The French Aerospace Lab
Country/scope,German U15
Country/scope,Moldova Young Academy
Country/scope,Madeira Chemistry Research Centre
Country/scope,Institute for Educational Research and Innovation - University of Balearic Islands
Country/scope,Kazimierz Wielki University
Country/scope,Diaconia University of Applied Sciences
Country/scope,BOKU University
Country/scope,University of Évora
Country/scope,Academy of Performing Arts in Bratislava
Country/scope,Ambrose Alli University
Country/scope,Canarian Agency for Quality Assessment and Accreditation (ACCUEE)
Country/scope,Health Sciences University
Country/scope,"State Scientific Institution ""Ukrainian Institute of Scientific and Technical Expertise and Information"""
Country/scope,Institute of Economic Sciences
Country/scope,"Swiss Federal Institute for Forest, Snow and Landscape Research WSL"
Country/scope,FIZ Karlsruhe – Leibniz Institute for Information Infrastructure
Country/scope,Uppsala University
Country/scope,University of Miskolc
Country/scope,Humboldt-Universität zu Berlin
Country/scope,University of Vic - Central University of Catalonia (UVic-UCC)
Country/scope,Athena Research & Innovation Center in Information Communication & Knowledge Technologies
Country/scope,"Research, Development and Innovation Council"
Country/scope,Örebro University
Country/scope,Assistant Professor Network Netherlands
Country/scope,Seneca Foundation - Science and Technology Agency of the Region of Murcia
Country/scope,Institute for Digitalisation of Education of the NAES of Ukraine
Country/scope,"""1 Decembrie 1918” University of Alba Iulia"
Country/scope,National Institute of Oceanography and Applied Geophysics - OGS
Country/scope,Universidad Internacional de Valencia - VIU
Country/scope,Swedish University of Agricultural Sciences
Country/scope,German Sport University Cologne
Country/scope,"National University, Costa Rica"
Country/scope,University of Potsdam
Country/scope,Universidade de Aveiro
Country/scope,Science for Life Laboratory (SciLifeLab)
Country/scope,Universidade de Lisboa
Country/scope,Istituto Nazionale di Fisica Nucleare
Country/scope,Universidad de León
Country/scope,Hochschule Bonn-Rhein-Sieg University of Applied Sciences
Country/scope,University of La Rioja
Country/scope,University of Applied Science Jena
Country/scope,EPFL - Swiss Federal Institute of Technology in Lausanne
Country/scope,Centre for Genomic Regulation
Country/scope,French National Institute for Sustainable Development
Country/scope,Lusofona University
Country/scope,Universidad de Las Americas
Country/scope,Mälardalen University
Country/scope,"University ""G. d'Annunzio"" of Chieti-Pescara"
Country/scope,Lesya Ukrainka Volyn National University
Country/scope,"ACEDE, Spanish Academy of Management"
Country/scope,Université Paris Cité
Country/scope,ISM University of Management and Economics
Country/scope,Medical University of Graz
Country/scope,Ruhr University Bochum
Country/scope,LAB University of Applied Sciences
Country/scope,Leibniz University Hannover
Country/scope,Manchester Metropolitan University
Country/scope,Josep Carreras Leukaemia Research Institute
Country/scope,University of the Basque Country UPV/EHU
Country/scope,David Tvildiani Medical University
Country/scope,VELUX FONDEN
Country/scope,"University of Teacher Education, State of Vaud"
Country/scope,University of Białystok
Country/scope,National University «Yuri Kondratyuk Poltava Polytechnic»
Country/scope,Karolinska Institutet
Country/scope,YEDITEPE UNIVERSITY
Country/scope,TOBB University of Economics and Technology
Country/scope,Centre for Social Studies
Country/scope,Universidad Autonoma de Chile
Country/scope,University of Rzeszow
Country/scope,Nottingham Trent University
Country/scope,Universidad Politécnica de Cartagena
Country/scope,Finnish Environment Institute (Syke)
Country/scope,Villum Foundation
Country/scope,Luxembourg Agency For Research Integrity
Country/scope,"CODATA, the Committee on Data of the International Science Council"
Country/scope,Fonds de recherche Quebec
Country/scope,Catalan Institution for Research and Advanced Studies
Country/scope,Andrássy University Budapest
Country/scope,West Pomeranian University of Technology in Szczecin
Country/scope,National Information Processing Institute
Country/scope,International Federation of Scholarly Associations of Management
Country/scope,IRCCS Ospedale Galeazzi Sant'Ambrogio
Country/scope,National Research and Development Agency
Country/scope,Sorbonne Nouvelle University
Country/scope,Häme University of Applied Sciences
Country/scope,Mid Sweden University
Country/scope,Information Society Development Institute
Country/scope,Jisc
Country/scope,Max-Delbrück-Centrum für Molekulare Medizin in der Helmholtz-Gemeinschaft
Country/scope,UCLouvain
Country/scope,Hungarian Accreditation Committee (MAB)
Country/scope,University Paris-Est Créteil
Country/scope,Schwyz University of Teacher Education
Country/scope,Consortium of European Taxonomic Facilities
Country/scope,Mary Immaculate College
Country/scope,"INESC-ID: Instituto de Engenharia de Sistemas e Computadores, Investigação e Desenvolvimento em Lisboa"
Country/scope,LIUC - Università Cattaneo
Country/scope,Curtin Open Knowledge Initiative
Country/scope,Wellcome Trust
Country/scope,Norwegian Academy of Music
Country/scope,University of Prishtina
Country/scope,"Goldsmiths, University of London"
Country/scope,Biomedical Research Center of the Slovak Academy of Sciences
Country/scope,International Sustainable Development Research Society
Country/scope,Lithuanian Academy of Sciences
Country/scope,Vilniaus kolegija/Higher Education Institution
Country/scope,Technical University of Denmark
Country/scope,Center for Open Science
Country/scope,VID Specialized University
Country/scope,University of Namur
Country/scope,ZB MED - Information Centre for Life Sciences
Country/scope,University of Dili (UNDIL)
Country/scope,University for Continuing Education Krems
Country/scope,South-Eastern Finland University of Applied Sciences
Country/scope,Koblenz University of Applied Sciences
Country/scope,Quality Assurance Agency in Higher Education of Andorra
Country/scope,University of Applied Sciences Offenburg
Country/scope,Society of Research Software Engineering
Country/scope,University of Mons
Country/scope,Sciences Po
Country/scope,University of Warwick
Country/scope,Amsterdam University of Applied Sciences
Country/scope,German Science and Humanities Council
Country/scope,"German Association for Psychiatry, Psychotherapy and Psychosomatics"
Country/scope,Fernando Pessoa Canarias University
Country/scope,University of Porto
Country/scope,University of Genoa
Country/scope,Technische Universität Berlin
Country/scope,University of Reading
Country/scope,UCAM Catholic University San Antonio de Murcia
Country/scope,Halmstad University
Country/scope,Institute of Agrifood Research and Technology
Country/scope,Lapland University of Applied Sciences
Country/scope,Zurich University of Teacher Education
Country/scope,Fund for Scientific Research - FNRS
Country/scope,Sant'Anna School of Advanced Studies
Country/scope,University of Iceland
Country/scope,University of Derby
Country/scope,Lublin University of Technology
Country/scope,Italian Society of the History of Philosophy
Country/scope,IT University of Copenhagen
Country/scope,GRISOF - Groupe  de reflexion et d'Information en Science Ouverte Francophone
Country/scope,Universidad Alfonso X el Sabio
Country/scope,Queen Mary University of London
Country/scope,ASTP Proton
Country/scope,Karelia University of Applied Sciences
Country/scope,Oulu University of Applied Sciences ltd
Country/scope,Catholic University of Valencia San Vicente Mártir
Country/scope,Humak University of Applied Sciences
Country/scope,EUTOPIA
Country/scope,University of Zaragoza
Country/scope,Technical University of Applied Sciences Amberg-Weiden
Country/scope,European Society for Anesthesiology and Intensive cAre
Country/scope,University of South Bohemia in České Budějovice
Country/scope,University of the Azores
Country/scope,Corvinus University of Budapest
Country/scope,ACPUA Aragon Agency for QA & Strategic  Foresight in Higher Education
Country/scope,University of Liège
Country/scope,Centria University of Applied Sciences
Country/scope,University of Costa Rica
Country/scope,Educational Research Institute
Country/scope,Royal Military Academy
Country/scope,Ludwig Boltzmann Gesellschaft
Country/scope,Budapest University of Technology and Economics
Country/scope,Mainz University of Applied Sciences
Country/scope,CeMM Research Center for Molecular Medicine of the Austrian Academy of Sciences
Country/scope,Italian Association of Psychology (AIP)
Country/scope,European Research Infrastructure on Highly Pathogenic Agents
Country/scope,CREAF - Centre for Ecological Research and Forestry Applications
Country/scope,Institute of Higher Education of NAES of Ukraine
Country/scope,Global Change Research Institute CAS
Country/scope,Tampere University of Applied Sciences
Country/scope,University of Cyprus
Country/scope,University of Andorra
Country/scope,Novia University of Applied Sciences
Country/scope,National University Of Distance Education (UNED)
Country/scope,Istituto Nazionale Di Geofisica E Vulcanologia
Country/scope,Karlstad University
Country/scope,Palacký University Olomouc
Country/scope,Gdańsk University of Technology
Country/scope,University of Lausanne
Country/scope,Irish Research Council
Country/scope,UK Reproducibility Network
Country/scope,Jamk University of Applied Sciences
Country/scope,The Estonian Young Academy of Sciences
Country/scope,Spanish Foundation for Science and Technology (FECYT)
Country/scope,Confederation of Open Access Repositories
Country/scope,Royal Institute of Technology (KTH)
Country/scope,University of Lleida
Country/scope,University of Alicante
Country/scope,Universidad Internacional de La Rioja
Country/scope,Universidad Politecnica de Madrid
Country/scope,San Jorge University Foundation
Country/scope,Balearic Islands Health Research Institute Foundation (IdISBa)
Country/scope,Christian Doppler Research Association
Country/scope,Institute for Open Science and Innovation
Country/scope,Software Sustainability Institute
Country/scope,University of Debrecen
Country/scope,Czech Association of Doctoral Researchers
Country/scope,CEU Cardenal Herrera University
Country/scope,Charité - Universitaetsmedizin Berlin
Country/scope,Knowmad Institut - European Institute for Multidisciplinary Studies on Human Rights and Science
Country/scope,Berlin University Alliance
Country/scope,Polytecnic University of Setúbal
Country/scope,Interdisciplinary Center for Archaeology and the Evolution of Human Behaviour
Country/scope,Aragonese Foundation for Research & Development (ARAID)
Country/scope,the Young Academy of Sweden
Country/scope,Medical university - Sofia
Country/scope,Molde University College. Specialized University in Logistics
Country/scope,Adam Mickiewicz University
Country/scope,Linnaeus University
Country/scope,Netherlands eScience Center
Country/scope,Latvian Council of Science
Country/scope,Complutense University of Madrid
Country/scope,Swiss Reproducibility Network
Country/scope,University of Navarra
Country/scope,Research on Research Institute (RoRI)
Country/scope,Dublin City University
Country/scope,European Consortium of Innovative Universities
Country/scope,Universität Hamburg
Country/scope,Trinity College Dublin
Country/scope,Seinäjoki University of Applied Sciences
Country/scope,Université libre de Bruxelles
Country/scope,National Agency for Quality Assessment and Accreditation of Spain (ANECA)
Country/scope,University of Pisa
Country/scope,Association for Interdisciplinary Meta-Research and Open Science
Country/scope,Kristianstad University
Country/scope,Aalborg University
Country/scope,Savonia University of Applied Sciences
Country/scope,CERCA Institution
Country/scope,Common Language Resources and Technology Infrastructure (CLARIN ERIC)
Country/scope,Institute for Bioengineering of Catalonia
Country/scope,Italian Institute for Environmental Protection and Research
Country/scope,University of Central Lancashire
Country/scope,Austrian Academy of Sciences
Country/scope,The Guild of European Research-Intensive Universities
Country/scope,Petre Shotadze Tbilisi Medical Academy
Country/scope,Technological University of the Shannon Midlands Midwest
Country/scope,University College Cork
Country/scope,Balearic Agency for Quality Assurance in Higher Education
Country/scope,Research!Sweden
Country/scope,"NIFU Nordic institute for studies in innovation, research and education"
Country/scope,Sociedad Científica de Bibliometría y Cienciometría
Country/scope,University of Eastern Piedmont
Country/scope,Jaume I University of Casteló
Country/scope,Lithuanian Sociological Association
Country/scope,University of Limoges
Country/scope,Norwegian University of Life Sciences NMBU
Country/scope,The Association of Research Managers and Administrators (ARMA UK)
Country/scope,Institute for Sustainable Development Environment and Tourism
Country/scope,Higher Education Council of Latvia
Country/scope,Università degli Studi dell’Insubria
Country/scope,The Institute for Research and European Studies (IRES)
Country/scope,"University ""St. Kliment Ohridski"" - Bitola"
Country/scope,Lovisenberg Diaconal University College
Country/scope,Loughborough University
Country/scope,University of Geneva
Country/scope,Aurora
Country/scope,Satakunta University of Applied Sciences
Country/scope,EOSC Association AISBL
Country/scope,Ss. Cyril and Methodius University in Skopje
Country/scope,European Research Council
Country/scope,Shota Rustaveli National Science Foundation
Country/scope,Polish Rectors Foundation
Country/scope,South East Technological University
Country/scope,Iscte-Instituto Universitário de Lisboa
Country/scope,Technical University of Cluj-Napoca
Country/scope,Kremenchuk Mykhailo Otrohradskyi National University
Country/scope,EMBO
Country/scope,Foundation for Polish Science
Country/scope,University Medical Center Groningen
Country/scope,ETH Zurich
Country/scope,Simon Kuznets Kharkiv National University of Economics
Country/scope,University of Tours
Country/scope,Zimbabwe Young Academy of Sciences
Country/scope,Ulysseus European University
Country/scope,"Ministry of Education, Youth and Sports, Czech Republic"
Country/scope,Medical University of Warsaw
Country/scope,Vistula University
Country/scope,"Land Forces Academy, Sibiu, Romania"
Country/scope,Instituto Brasileiro de Informação em Ciência e Tecnologia - IBICT
Country/scope,Università degli Studi di Bergamo
Country/scope,Vrije Universiteit Brussel
Country/scope,Université de Rennes 1
Country/scope,Université Polytechnique Hauts-De-France
Country/scope,European Office of Cyprus
Country/scope,European Science Foundation - Science Connect
Country/scope,Open Universiteit
Country/scope,VIB
Country/scope,European University of Rome
Country/scope,Inland Norway University of Applied Sciences
Country/scope,Centre de Recerca Matemàtica (CRM)
Country/scope,Science Foundation Ireland
Country/scope,Université d'Angers
Country/scope,University of Amsterdam
Country/scope,"Udice, French Research Universities"
Country/scope,Hanken School of Economics
Country/scope,UNIVERSIDAD CATÓLICA DE ÁVILA
Country/scope,Lund University
Country/scope,Université de Poitiers
Country/scope,"Institut National de Recherche pour l'agriculture, l'alimentation et l'environnement"
Country/scope,European Association of Institutions in Higher Education
Country/scope,Maria Curie-Sklodowska University
Country/scope,European Civil Society Platform for Multilingualism
Country/scope,Medical University of Lodz
Country/scope,Ghent University
Country/scope,AgroParisTech
Country/scope,Haaga-Helia University of Applied Sciences
Country/scope,University of Novo mesto
Country/scope,University of Applied Sciences and Arts of Western Switzerland (HES-SO)
Country/scope,Universidad San Pablo
Country/scope,Aarhus Universitet
Country/scope,Universidad a Distancia de Madrid (UDIMA)
Country/scope,Institute of Contemporary History
Country/scope,"Forte: Swedish Research Council for Health, Working Life and Welfare"
Country/scope,Physical Activity and Sports Tech for Healthy Lifestyles
Country/scope,Deutsche Gesellschaft für Psychologie (DGPs)
Country/scope,Agencia Valenciana d'Avaluacio i Prospectiva
Country/scope,Swedish Higher Education Authority
Country/scope,Swiss Academies of Arts and Sciences
Country/scope,University of Edinburgh
Country/scope,Lithuanian University' Rectors' conference
Country/scope,AGH University of Science and Technology
Country/scope,Andrzej Frycz Modrzewski Krakow University
Country/scope,Università degli Studi di Cassino e del Lazio Merdionale
Country/scope,SWPS University
Country/scope,Agency for Health Quality and Assessment of Catalonia (AQuAs)
Country/scope,University of Maribor
Country/scope,Università di Macerata
Country/scope,League of European Research Universities
Country/scope,Hungarian Academy of Sciences
Country/scope,Cardinal Stefan Wyszyński University in Warsaw
Country/scope,Scuola IMT Alti Studi Lucca
Country/scope,Université de Bordeaux
Country/scope,Università degli Studi di Ferrara
Country/scope,WSB University
Country/scope,Open Science Community Sweden
Country/scope,VHIR - Fundació Institut de Recerca Hospital Universitari Vall d'Hebron
Country/scope,Umeå University
Country/scope,Université Rennes 2
Country/scope,Collegium Civitas
Country/scope,Université de Franche-Comté
Country/scope,Universitat de València
Country/scope,Åbo Akademi University
Country/scope,Université de Haute Alsace
Country/scope,Technical University of Civil Engineering Bucharest
Country/scope,Poznan University of Technlogy
Country/scope,Université Toulouse Capitole
Country/scope,"MF Norwegian School of Theology, Religion and Society"
Country/scope,HUN-REN HQ
Country/scope,Universidad de Murcia
Country/scope,Agència per a la Qualitat del Sistema Universitari de Catalunya
Country/scope,Erasmus University Rotterdam
Country/scope,European University Hospital Alliance
Country/scope,Carol Davila University of Medicine and Pharmacy
Country/scope,France Universités
Country/scope,"The Association of Swedish Higher Education Institutions, SUHF"
Country/scope,Coimbra Group
Country/scope,The University of the Arts Helsinki
Country/scope,The Conference of Rectors of Spanish Universities
Country/scope,Polish Young Academy (of Polish Academy of Sciences)
Country/scope,Institute of Health Carlos III
Country/scope,ARRS - Slovenian Research Agency
Country/scope,Sanquin Blood Supply
Country/scope,Bern University of Applied Sciences BFH
Country/scope,SGH Warsaw School of Ecominics
Country/scope,Technological University Dublin
Country/scope,Universitetet i Bergen
Country/scope,Institut Català de Nanociència i Nanotecnologia
Country/scope,Rey Juan Carlos University
Country/scope,University of Opole
Country/scope,Lappeenranta-Lahti University of Technology LUT
Country/scope,IULM
Country/scope,Italian Reproducibility Network
Country/scope,Link Campus University
Country/scope,Università degli Studi di Palermo
Country/scope,Università degli studi di Modena e Reggio Emilia
Country/scope,Universitat Autònoma de Barcelona
Country/scope,NOVA University Lisbon
Country/scope,Oslo Metropolitan University
Country/scope,University of Humanistic Studies
Country/scope,Università degli Studi Roma Tre
Country/scope,Ca' Foscari University of Venice
Country/scope,Hungarian Rectors' Conference
Country/scope,University of Graz
Country/scope,Politechnika Krakowska im. Tadeusza Kościuszki
Country/scope,"Institute of Polish Language, Polish Academy of Sciences"
Country/scope,Politecnico di Bari
Country/scope,University of Ljubljana
Country/scope,Silesian University of Technology
Country/scope,Jožef Stefan Institute
Country/scope,The Strzemiński Academy of Fine Arts Łódź
Country/scope,Università degli Studi di Pavia
Country/scope,The University of Oslo
Country/scope,University of Alcalá
Country/scope,Lodz University of Technology
Country/scope,Università Campus Bio-Medico di Roma
